sales_Sl. No,sales_Invoice Number,sales_Invoice Date,sales_Customer Name,GST Number,sales_Net Amount,sales_Tax Type CGST,sales_Tax Amount CGST,sales_Tax Type SGST,sales_Tax Amount SGST,sales_Tax Type IGST,sales_Tax Amount IGST,sales_Grand Amount,Purchase Invoice Number,Purchase Invoice Date,Purchase Customer Name,TIN Number,Purchase Net Amount,Purchase Tax Type CGST,Purchase Tax Amount CGST,Purchase Tax Type SGST,Purchase Tax Amount SGST,Purchase Tax Type IGST,Purchase Tax Amount IGST,Purchase Grand Amount
76,76,30-12-2023,M/s SKB Automation,29BERPK0195J1ZW,28500,CGST@9%,2565,SGST@9%,2565,,,33630,1635,23-08-2024,A L Colours & Coats,29ABBFA2410J1ZS,"7,440.00",CGST@9%,669.6,SGST@9%,669.6,,,"8,779.00"
77,77,30-12-2023,M/s SKB Automation,29BERPK0195J1ZW,19000,CGST@9%,1710,SGST@9%,1710,,,22420,611,23-08-2024,CRANE KIT,29AAQFC2592K1ZS,"10,374.00",CGST@9%,933.66,SGST@9%,933.66,,,"12,241.00"
78,78,16-01-2024,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,26646,CGST@9%,2398.14,SGST@9%,2398.14,,,31442,6687,23-08-2024,KRISHNA ELECTRICAL INDUSTRIES,29ABFPC0995E1ZQ,"41,921.00",CGST@9%,"3,772.89",SGST@9%,"3,772.89",,,"49,467.00"
79,79,16-01-2024,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,4700,CGST@9%,423,SGST@9%,423,,,5546,259,27-08-2024,SNEHA ENTERPRISES,29CSGPM9825F1Z9,"23,500.00",CGST@9%,"2,115.00",SGST@9%,"2,115.00",,,"27,730.00"
80,80,20-01-2024,ACE ENGINEERING TECHNOLIES INDIA PVT LTD,29AAICA0071C1Z3,21250,CGST@9%,1912.5,SGST@9%,1912.5,,,25075,19042,03-09-2024,Industrial Hydraulics & tools,29AFCPH8418Q1ZT,795,CGST@9%,71.55,SGST@9%,71.55,,,938
81,81,22-01-2024,M/S STUMPP SCHUELE  SOMAPPA SPRINGS (P) LIMITED,29AALCS7347E1ZX,55399.4,CGST@9%,4985.95,SGST@9%,4985.95,,,65371,893,03-09-2024,SGS BATTERIES,29AHWPRO76OR1Z4,"30,895.00",CGST@9%,"2,780.55",SGST@9%,"2,780.55",,,"36,456.00"
82,82,30-01-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,33500,09-09-2024,Galaxy Paints Hardware,AAKFG6133C1Z1,326,CGST@9%,29.34,SGST@9%,29.34,,,385
83,83,30-01-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,195455,CGST@9%,17590.95,SGST@9%,17590.95,,,230637,184,14-09-2024,SUMUKHA ENGINEERS,29030107908,"2,400.00",CGST@9%,216,SGST@9%,216,,,"2,832.00"
84,84,30-01-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,271,15-09-2024,Thanusha Enterprises,29CHMPK0290E1ZI,"74,500.00",CGST@9%,"6,705.00",SGST@9%,"6,705.00",,,"87,910.00"
85,85,30-01-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,2425,24-09-2024,KHS ENGINEERING TECHNOLOGIES,29AAAFK9877H1ZP,"3,978.00",CGST@9%,358.02,SGST@9%,358.02,,,"4,694.00"
