sales_Sl. No,sales_Invoice Number,sales_Invoice Date,sales_Customer Name,GST Number,sales_Net Amount,sales_Tax Type CGST,sales_Tax Amount CGST,sales_Tax Type SGST,sales_Tax Amount SGST,sales_Tax Type IGST,sales_Tax Amount IGST,sales_Grand Amount,Purchase Invoice Number,Purchase Invoice Date,Purchase Customer Name,TIN Number,Purchase Net Amount,Purchase Tax Type CGST,Purchase Tax Amount CGST,Purchase Tax Type SGST,Purchase Tax Amount SGST,Purchase Tax Type IGST,Purchase Tax Amount IGST,Purchase Grand Amount
143,48,12-09-2024,M/S STUMPP SCHUELE  SOMAPPA SPRINGS (P) LIMITED,29AALCS7347E1ZX,19500,CGST@9%,1755,SGST@9%,1755,,,23010,,,,,,,,,,,,
144,49,25-09-2024,M/S MAWALEWARI ENGINEERING,20ATNPK3858L1ZC,12750,,,,,IGST@18%,2295,15045,,,,,,,,,,,,
145,53,26-09-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
146,54,26-09-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
147,50,28-09-2024,M/s KCN Enterprises,29ATDPR4748L2ZX,30720,CGST@9%,2764.8,SGST@9%,2764.8,,,36250,,,,,,,,,,,,
148,51,29-09-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,,,,,,,,,,,,
149,52,29-09-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,,,,,,,,,,,,
150,55,30-09-2024,M/s Indian Cane Power LTD,29AABC151330F1ZS,2500,CGST@9%,225,SGST@9%,225,,,2950,,,,,,,,,,,,
151,56,16-10-2024,M/s RHS Cranes & Components,29AAVFR6748P2ZR,95000,CGST@9%,8550,SGST@9%,8550,,,112100,,,,,,,,,,,,
152,57,21-10-2024,M/s SV Material handling system,29AAKCS6443A1ZB,29250,CGST@9%,2632.5,SGST@9%,2632.5,,,34515,,,,,,,,,,,,
153,58,21-10-2024,M/s KCN Enterprises,29ATDPR4748L2ZX,13080,CGST@9%,1177.2,SGST@9%,1177.2,,,15434,,,,,,,,,,,,
154,59,22-10-2024,M/s Viman Multiplug Pvt Ltd,29AAACV5713G1ZB,4800,CGST@9%,432,SGST@9%,432,,,5664,,,,,,,,,,,,
155,60,22-10-2024,M/s Mohinder Agencies,29AABFM4837A1ZI,11625,CGST@9%,1046.25,SGST@9%,1046.25,,,13718,,,,,,,,,,,,
156,61,28-10-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,,,,,,,,,,,,
157,62,28-10-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,,,,,,,,,,,,
158,63,28-10-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
159,64,05-11-2024,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,28650,CGST@9%,2578.5,SGST@9%,2578.5,,,33807,,,,,,,,,,,,
160,65,05-11-2024,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,625000,CGST@9%,56250,SGST@9%,56250,,,737500,,,,,,,,,,,,
161,66,05-11-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,28000,CGST@9%,2520,SGST@9%,2520,,,33040,,,,,,,,,,,,
162,67,07-11-2024,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,33000,CGST@9%,2970,SGST@9%,2970,,,38940,,,,,,,,,,,,
163,68,14-11-2024,M/s Firetech Boilers Pvt Ltd,29AAACF4752H1ZK,500000,CGST@9%,45000,SGST@9%,45000,,,590000,,,,,,,,,,,,
164,69,14-11-2024,M/S STUMPP SCHUELE  SOMAPPA SPRINGS (P) LIMITED,29AALCS7347E1ZX,38000,CGST@9%,3420,SGST@9%,3420,,,44840,,,,,,,,,,,,
165,70,26-11-2024,M/s Rarewala Steels & Alloys Pvt Ltd,29AAECR7443K1ZV,13000,CGST@9%,1170,SGST@9%,1170,,,15340,,,,,,,,,,,,
166,71,26-11-2024,M/S R.R.FOUNDERS,29AABFR5630G1Z8,13500,CGST@9%,1215,SGST@9%,1215,,,15930,,,,,,,,,,,,
167,72,28-11-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,,,,,,,,,,,,
168,73,28-11-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,,,,,,,,,,,,
169,74,13-12-2024,M/s Hi-Tech Lift Engineering,33DBMPK4224G1ZT,18024,,,,,IGST@18%,3244,21268,,,,,,,,,,,,
170,75,16-12-2024,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
171,76,18-12-2024,S.V.MATERIAL HANDLING SYSTEM PVT LTD,29AAKCS6443A1ZB,47000,CGST@9%,4230,SGST@9%,4230,,,55460,,,,,,,,,,,,
172,77,20-12-2024,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,134550,CGST@9%,12109.5,SGST@9%,12109.5,,,158769,,,,,,,,,,,,
173,78,23-12-2024,M/s Mohinder Agencies,29AABFM4837A1ZI,325000,CGST@9%,29250,SGST@9%,29250,,,383500,,,,,,,,,,,,
174,79,25-12-2024,M/s SKB Automation,29BERPK0195J1ZW,45750,CGST@9%,4117.5,SGST@9%,4117.5,,,53985,,,,,,,,,,,,
175,80,27-12-2024,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,,,,,,,,,,,,
176,81,27-12-2024,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,,,,,,,,,,,,
177,82,08-01-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
178,83,20-01-2025,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,38615,CGST@9%,3475.35,SGST@9%,3475.35,,,45566,,,,,,,,,,,,
179,84,21-01-2025,M/s Mohinder Agencies,29AABFM4837A1ZI,20000,CGST@9%,1800,SGST@9%,1800,,,23600,,,,,,,,,,,,
180,85,30-01-2025,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,,,,,,,,,,,,
181,86,30-01-2025,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,,,,,,,,,,,,
182,87,30-01-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
183,88,18-02-2025,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,37050,CGST@9%,3334.5,SGST@9%,3334.5,,,43719,,,,,,,,,,,,
184,89,27-02-2025,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,,,,,,,,,,,,
185,90,27-02-2025,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,,,,,,,,,,,,
186,91,08-03-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
187,92,27-03-2025,BANGALORE METALURGICAL PVT LTD,29AAACB5881F1ZK,254000,CGST@9%,22860,SGST@9%,22860,,,299720,,,,,,,,,,,,
188,93,28-03-2025,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,205000,CGST@9%,18450,SGST@9%,18450,,,241900,,,,,,,,,,,,
189,94,28-03-2025,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,201041,CGST@9%,18093.69,SGST@9%,18093.69,,,237228,,,,,,,,,,,,
190,1,04-04-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
191,2,11-04-2025,S.V.MATERIAL HANDLING SYSTEM PVT LTD,29AAKCS6443A1ZB,14625,CGST@9%,1316.25,SGST@9%,1316.25,,,17258,,,,,,,,,,,,
192,3,28-04-2025,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,215250,CGST@9%,19372.5,SGST@9%,19372.5,,,253995,,,,,,,,,,,,
193,4,28-04-2025,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,211093,CGST@9%,18998.37,SGST@9%,18998.37,,,249090,,,,,,,,,,,,
194,5,28-04-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
195,24,28-04-2025,M/s Mohinder Agencies,29AABFM4837A1ZI,25200,CGST@9%,2268,SGST@9%,2268,,,29736,,,,,,,,,,,,
196,6,05-05-2025,M/s Bansal ARADHYA STEEL PVT LTD,29AACCA3266D1ZW,19250,CGST@9%,1732.5,SGST@9%,1732.5,,,22715,,,,,,,,,,,,
197,7,14-05-2025,M/s Viman Multiplug Private Limited Unit -6-,29AAACV5713G1ZB,1720000,CGST@9%,154800,SGST@9%,154800,,,2029600,,,,,,,,,,,,
198,8,15-05-2025,S.V.MATERIAL HANDLING SYSTEM PVT LTD,29AAKCS6443A1ZB,14250,CGST@9%,1282.5,SGST@9%,1282.5,,,16815,,,,,,,,,,,,
199,9,20-05-2025,M/s Bansal ARADHYA STEEL PVT LTD,29AACCA3266D1ZW,54500,CGST@9%,4905,SGST@9%,4905,,,64310,,,,,,,,,,,,
200,10,27-05-2025,M/s Acetech PEB System Pvt Ltd,29AANCA5292N1ZU,98000.92,CGST@9%,8820.08,SGST@9%,8820.08,,,115641,,,,,,,,,,,,
201,11,28-05-2025,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,215250,CGST@9%,19372.5,SGST@9%,19372.5,,,253995,,,,,,,,,,,,
202,12,28-05-2025,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,211093,CGST@9%,18998.37,SGST@9%,18998.37,,,249090,,,,,,,,,,,,
203,13,28-05-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
204,14,28-05-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,59375,CGST@9%,5343.75,SGST@9%,5343.75,,,70063,,,,,,,,,,,,
205,15,28-05-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,27645,CGST@9%,2488.05,SGST@9%,2488.05,,,32621,,,,,,,,,,,,
206,16,17-06-2025,M/S STUMPP SCHUELE  SOMAPPA SPRINGS (P) LIMITED,29AALCS7347E1ZX,95000,CGST@9%,8550,SGST@9%,8550,,,112100,,,,,,,,,,,,
207,17,22-06-2025,M/s Viman Multiplug Private Limited Unit -6-,29AAACV5713G1ZB,2780000,CGST@9%,250200,SGST@9%,250200,,,3280400,,,,,,,,,,,,
208,18,27-06-2025,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,215250,CGST@9%,19372.5,SGST@9%,19372.5,,,253995,,,,,,,,,,,,
209,19,27-06-2025,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,211093,CGST@9%,18998.37,SGST@9%,18998.37,,,249090,,,,,,,,,,,,
210,20,28-06-2025,M/s Bansal ARADHYA STEEL PVT LTD,29AACCA3266D1ZW,12125,CGST@9%,1091.25,SGST@9%,1091.25,,,14308,,,,,,,,,,,,
211,21,14-07-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,12675,CGST@9%,1140.75,SGST@9%,1140.75,,,14957,,,,,,,,,,,,
212,22,14-07-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,49994.68,CGST@9%,4499.52,SGST@9%,4499.52,,,58994,,,,,,,,,,,,
213,23,14-07-2025,TRACTORS AND FARMS EQUIPMENTS LTD.,29AAACT2761Q1ZQ,36000,CGST@9%,3240,SGST@9%,3240,,,42480,,,,,,,,,,,,
214,25,18-07-2025,M/s P&P Enterprises,29FRJPP8119L1ZW,22500,CGST@9%,2025,SGST@9%,2025,,,26550,,,,,,,,,,,,
215,26,28-07-2025,M/s Talrak Construction Chemicals Pvt Ltd,29AAFCT0474P1ZP,211013,CGST@9%,18991.17,SGST@9%,18991.17,,,248995,,,,,,,,,,,,
216,27,28-07-2025,M/s Laxmi industries India Private Limited,29AAECL9398P1Z9,215250,CGST@9%,19372.5,SGST@9%,19372.5,,,253995,,,,,,,,,,,,
217,28,28-07-2025,S.V.MATERIAL HANDLING SYSTEM PVT LTD,29AAKCS6443A1ZB,38000,CGST@9%,3420,SGST@9%,3420,,,44840,,,,,,,,,,,,
